problem,population,dimension,seed,total_time_seconds,analysis_time_seconds,objectiveValueOverTime,objectiveValueBestSolutionOverTime,changeInObjectiveValuePerGeneration,rateOfChangePerIndividualPerGeneration,convergenceOptimumBased,classicConvergenceOptimumBased,convergenceStepsPerIndividual,convergenceSteps,geometricRateofFitnessChangePerGeneration,e_value,hammingDistanceBestSolutionPerGeneration,hammingDistanceBestSolutionPerGeneration2,hammingDistanceBestSolutionPerGeneration3,entropyDiversity,diversityDistanceToCenter,diversityDistanceToCenter2,accumSum,rateOfImprovementMutations,rateOfModificationsPerOperator,status
OneMax,50,900,789,43.359,27.432,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.372,0.000,0.000,0.000,0.007,0.028,0.020,0.000,0.001,0.000
IsingTorus,50,900,789,42.597,27.427,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.367,0.000,0.000,0.000,0.006,0.029,0.019,0.000,0.001,0.000
OneMaxRuggedness2,50,900,789,42.906,27.407,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.322,0.000,0.000,0.000,0.006,0.029,0.019,0.000,0.001,0.000
NQueens,50,900,789,43.467,27.431,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.371,0.000,0.000,0.000,0.007,0.028,0.020,0.000,0.001,0.000
OneMax,50,900,42,42.650,27.419,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.360,0.000,0.000,0.000,0.006,0.029,0.018,0.000,0.001,0.000
IsingTorus,50,900,42,43.026,27.400,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.340,0.000,0.000,0.000,0.007,0.028,0.020,0.000,0.001,0.000
OneMaxRuggedness2,50,900,42,43.450,27.445,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.383,0.000,0.000,0.000,0.006,0.029,0.021,0.000,0.001,0.000
NQueens,50,900,42,43.549,27.404,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.343,0.000,0.000,0.000,0.007,0.028,0.020,0.000,0.001,0.000
OneMax,50,900,1111,43.274,27.423,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.361,0.000,0.000,0.000,0.007,0.029,0.020,0.000,0.001,0.000
IsingTorus,50,900,1111,43.088,27.417,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.356,0.000,0.000,0.000,0.006,0.029,0.020,0.000,0.001,0.000
OneMaxRuggedness2,50,900,1111,42.935,27.430,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.370,0.000,0.000,0.000,0.006,0.030,0.019,0.000,0.001,0.000
NQueens,50,900,1111,42.914,27.450,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.392,0.000,0.000,0.000,0.007,0.028,0.019,0.000,0.001,0.000
OneMax,50,900,123,43.611,27.424,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.360,0.000,0.000,0.000,0.007,0.030,0.021,0.000,0.001,0.000
IsingTorus,50,900,123,43.430,27.395,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.331,0.000,0.000,0.000,0.007,0.030,0.021,0.000,0.001,0.000
OneMaxRuggedness2,50,900,123,42.718,27.500,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.437,0.000,0.000,0.000,0.006,0.031,0.020,0.000,0.001,0.000
NQueens,50,900,123,43.133,27.406,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.347,0.000,0.000,0.000,0.006,0.028,0.019,0.000,0.001,0.000
OneMax,50,900,456,43.194,27.366,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.306,0.000,0.000,0.000,0.006,0.028,0.019,0.000,0.001,0.000
IsingTorus,50,900,456,43.598,27.378,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.316,0.000,0.000,0.000,0.007,0.028,0.020,0.000,0.001,0.000
OneMaxRuggedness2,50,900,456,42.969,27.470,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.410,0.000,0.000,0.000,0.006,0.029,0.019,0.000,0.001,0.000
NQueens,50,900,456,43.191,27.412,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.350,0.000,0.000,0.000,0.006,0.029,0.020,0.000,0.001,0.000
OneMax,50,900,999,42.815,27.388,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.326,0.000,0.000,0.000,0.006,0.030,0.020,0.000,0.001,0.000
IsingTorus,50,900,999,43.444,27.419,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.357,0.000,0.000,0.000,0.006,0.030,0.020,0.000,0.001,0.000
OneMaxRuggedness2,50,900,999,42.724,27.365,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.303,0.000,0.000,0.000,0.006,0.030,0.020,0.000,0.001,0.000
NQueens,50,900,999,43.349,27.458,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.398,0.000,0.000,0.000,0.006,0.028,0.019,0.000,0.001,0.000
OneMax,50,900,5555,43.141,27.394,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.332,0.000,0.000,0.000,0.007,0.029,0.020,0.000,0.001,0.000
IsingTorus,50,900,5555,43.714,27.375,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.314,0.000,0.000,0.000,0.007,0.028,0.020,0.000,0.001,0.000
OneMaxRuggedness2,50,900,5555,43.457,27.461,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.400,0.000,0.000,0.000,0.007,0.029,0.020,0.000,0.001,0.000
NQueens,50,900,5555,43.011,27.333,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.274,0.000,0.000,0.000,0.006,0.028,0.019,0.000,0.001,0.001
OneMax,50,900,4444,42.862,27.386,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.325,0.000,0.000,0.000,0.006,0.029,0.020,0.000,0.001,0.000
IsingTorus,50,900,4444,42.992,27.436,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.377,0.000,0.000,0.000,0.007,0.028,0.019,0.000,0.001,0.000
OneMaxRuggedness2,50,900,4444,43.646,27.396,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.334,0.000,0.000,0.000,0.007,0.028,0.020,0.000,0.001,0.000
NQueens,50,900,4444,42.668,27.469,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.410,0.000,0.000,0.000,0.006,0.029,0.019,0.000,0.001,0.000
OneMax,50,900,3333,42.675,27.387,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.329,0.000,0.000,0.000,0.006,0.028,0.018,0.000,0.001,0.000
IsingTorus,50,900,3333,43.333,27.577,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.515,0.000,0.000,0.000,0.007,0.029,0.020,0.000,0.001,0.000
OneMaxRuggedness2,50,900,3333,43.704,27.429,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.367,0.000,0.000,0.000,0.007,0.029,0.021,0.000,0.001,0.000
NQueens,50,900,3333,42.681,27.500,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.440,0.000,0.000,0.000,0.006,0.028,0.019,0.000,0.001,0.000
OneMax,50,900,2222,42.803,27.343,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.282,0.000,0.000,0.000,0.007,0.029,0.020,0.000,0.001,0.000
IsingTorus,50,900,2222,43.664,27.330,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.267,0.000,0.000,0.000,0.007,0.030,0.021,0.000,0.001,0.000
OneMaxRuggedness2,50,900,2222,43.145,27.353,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.292,0.000,0.000,0.000,0.006,0.029,0.020,0.000,0.001,0.000
NQueens,50,900,2222,43.769,27.416,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.355,0.000,0.000,0.000,0.007,0.029,0.020,0.000,0.001,0.000
OneMax,50,100,789,6.667,0.440,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.423,0.000,0.000,0.000,0.006,0.004,0.003,0.000,0.000,0.000
IsingTorus,50,100,789,6.691,0.442,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.424,0.000,0.000,0.000,0.007,0.004,0.003,0.000,0.000,0.000
OneMaxRuggedness2,50,100,789,6.724,0.441,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.424,0.000,0.000,0.000,0.006,0.004,0.003,0.000,0.000,0.000
NQueens,50,100,789,6.707,0.440,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.423,0.000,0.000,0.000,0.006,0.004,0.003,0.000,0.000,0.000
OneMax,50,100,42,6.710,0.444,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.426,0.000,0.000,0.000,0.007,0.004,0.003,0.000,0.000,0.000
IsingTorus,50,100,42,6.673,0.443,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.425,0.000,0.000,0.000,0.007,0.004,0.003,0.000,0.000,0.000
OneMaxRuggedness2,50,100,42,6.668,0.440,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.423,0.000,0.000,0.000,0.006,0.004,0.003,0.000,0.000,0.000
NQueens,50,100,42,6.714,0.450,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.431,0.000,0.000,0.000,0.007,0.004,0.003,0.000,0.000,0.000
OneMax,50,100,1111,6.657,0.442,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.425,0.000,0.000,0.000,0.006,0.004,0.003,0.000,0.000,0.000
IsingTorus,50,100,1111,6.701,0.440,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.423,0.000,0.000,0.000,0.007,0.003,0.003,0.000,0.000,0.000
OneMaxRuggedness2,50,100,1111,6.705,0.448,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.431,0.000,0.000,0.000,0.007,0.004,0.003,0.000,0.000,0.000
NQueens,50,100,1111,6.701,0.440,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.423,0.000,0.000,0.000,0.006,0.004,0.003,0.000,0.000,0.000
OneMax,50,100,123,6.710,0.441,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.423,0.000,0.000,0.000,0.007,0.004,0.003,0.000,0.000,0.000
IsingTorus,50,100,123,6.739,0.441,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.422,0.000,0.000,0.000,0.007,0.004,0.003,0.000,0.000,0.000
OneMaxRuggedness2,50,100,123,6.722,0.441,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.424,0.000,0.000,0.000,0.007,0.004,0.003,0.000,0.000,0.000
NQueens,50,100,123,6.697,0.441,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.423,0.000,0.000,0.000,0.007,0.004,0.003,0.000,0.000,0.000
OneMax,50,100,456,6.686,0.444,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.426,0.000,0.000,0.000,0.006,0.004,0.003,0.000,0.000,0.000
IsingTorus,50,100,456,6.715,0.441,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.423,0.000,0.000,0.000,0.007,0.004,0.003,0.000,0.000,0.000
OneMaxRuggedness2,50,100,456,6.706,0.441,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.423,0.000,0.000,0.000,0.007,0.004,0.003,0.000,0.000,0.000
NQueens,50,100,456,6.700,0.440,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.423,0.000,0.000,0.000,0.006,0.004,0.003,0.000,0.000,0.000
OneMax,50,100,999,6.770,0.442,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.424,0.000,0.000,0.000,0.006,0.004,0.003,0.000,0.000,0.000
IsingTorus,50,100,999,6.742,0.443,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.424,0.000,0.000,0.000,0.007,0.004,0.003,0.000,0.000,0.000
OneMaxRuggedness2,50,100,999,6.669,0.441,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.423,0.000,0.000,0.000,0.006,0.004,0.003,0.000,0.000,0.000
NQueens,50,100,999,6.711,0.442,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.424,0.000,0.000,0.000,0.007,0.003,0.003,0.000,0.000,0.000
OneMax,50,100,5555,6.638,0.441,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.424,0.000,0.000,0.000,0.006,0.004,0.003,0.000,0.000,0.000
IsingTorus,50,100,5555,6.743,0.441,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.423,0.000,0.000,0.000,0.007,0.004,0.003,0.000,0.000,0.000
OneMaxRuggedness2,50,100,5555,6.648,0.440,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.422,0.000,0.000,0.000,0.006,0.004,0.003,0.000,0.000,0.000
NQueens,50,100,5555,6.690,0.440,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.423,0.000,0.000,0.000,0.006,0.004,0.003,0.000,0.000,0.000
OneMax,50,100,4444,6.683,0.441,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.423,0.000,0.000,0.000,0.007,0.004,0.003,0.000,0.000,0.000
IsingTorus,50,100,4444,6.644,0.446,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.429,0.000,0.000,0.000,0.006,0.004,0.003,0.000,0.000,0.000
OneMaxRuggedness2,50,100,4444,6.685,0.440,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.423,0.000,0.000,0.000,0.006,0.004,0.003,0.000,0.000,0.000
NQueens,50,100,4444,6.671,0.440,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.423,0.000,0.000,0.000,0.006,0.003,0.003,0.000,0.000,0.000
OneMax,50,100,3333,6.725,0.441,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.423,0.000,0.000,0.000,0.006,0.004,0.003,0.000,0.000,0.000
IsingTorus,50,100,3333,6.638,0.439,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.422,0.000,0.000,0.000,0.006,0.004,0.003,0.000,0.000,0.000
OneMaxRuggedness2,50,100,3333,6.697,0.458,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.440,0.000,0.000,0.000,0.007,0.004,0.003,0.000,0.000,0.000
NQueens,50,100,3333,6.709,0.440,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.422,0.000,0.000,0.000,0.007,0.003,0.003,0.000,0.000,0.000
OneMax,50,100,2222,6.629,0.441,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.424,0.000,0.000,0.000,0.006,0.004,0.003,0.000,0.000,0.000
IsingTorus,50,100,2222,6.660,0.447,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.430,0.000,0.000,0.000,0.006,0.004,0.003,0.000,0.000,0.000
OneMaxRuggedness2,50,100,2222,6.675,0.442,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.424,0.000,0.000,0.000,0.006,0.004,0.003,0.000,0.000,0.000
NQueens,50,100,2222,6.662,0.438,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.422,0.000,0.000,0.000,0.006,0.003,0.003,0.000,0.000,0.000
OneMax,10,900,789,40.881,27.475,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.407,0.002,0.001,0.001,0.005,0.034,0.018,0.000,0.001,0.000
IsingTorus,10,900,789,40.717,27.397,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,27.331,0.002,0.001,0.001,0.005,0.033,0.018,0.000,0.001,0.000
OneMaxRuggedness2,10,900,789,40.406,27.363,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.273,0.002,0.002,0.002,0.005,0.046,0.024,0.000,0.001,0.000
NQueens,10,900,789,40.701,27.339,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.273,0.002,0.001,0.001,0.005,0.032,0.018,0.000,0.001,0.000
OneMax,10,900,42,41.110,27.424,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,27.331,0.002,0.001,0.001,0.005,0.032,0.017,0.000,0.001,0.000
IsingTorus,10,900,42,40.795,27.386,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.318,0.002,0.001,0.001,0.005,0.034,0.018,0.000,0.001,0.000
OneMaxRuggedness2,10,900,42,40.513,27.359,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.272,0.002,0.002,0.002,0.005,0.044,0.024,0.000,0.001,0.000
NQueens,10,900,42,40.708,27.356,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.289,0.002,0.001,0.001,0.005,0.034,0.017,0.000,0.001,0.000
OneMax,10,900,1111,40.765,27.368,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,27.302,0.002,0.001,0.001,0.005,0.033,0.017,0.000,0.001,0.000
IsingTorus,10,900,1111,40.831,27.401,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.334,0.002,0.001,0.001,0.005,0.033,0.018,0.000,0.001,0.000
OneMaxRuggedness2,10,900,1111,40.468,27.415,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.329,0.002,0.002,0.002,0.005,0.044,0.023,0.000,0.001,0.000
NQueens,10,900,1111,40.710,27.355,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,27.292,0.002,0.001,0.001,0.005,0.031,0.017,0.000,0.001,0.000
OneMax,10,900,123,40.752,27.410,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,27.348,0.002,0.001,0.001,0.005,0.031,0.016,0.000,0.001,0.000
IsingTorus,10,900,123,40.719,27.400,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.330,0.002,0.001,0.001,0.005,0.035,0.018,0.000,0.001,0.000
OneMaxRuggedness2,10,900,123,40.361,27.366,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.277,0.002,0.002,0.002,0.005,0.046,0.024,0.000,0.001,0.000
NQueens,10,900,123,40.791,27.386,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.323,0.002,0.001,0.001,0.005,0.031,0.017,0.000,0.001,0.000
OneMax,10,900,456,40.790,27.374,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.304,0.002,0.001,0.001,0.005,0.035,0.019,0.000,0.001,0.000
IsingTorus,10,900,456,40.728,27.346,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.279,0.002,0.001,0.001,0.005,0.034,0.018,0.000,0.001,0.000
OneMaxRuggedness2,10,900,456,40.449,27.383,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.300,0.002,0.002,0.002,0.005,0.043,0.022,0.000,0.001,0.000
NQueens,10,900,456,40.752,27.397,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.331,0.002,0.001,0.001,0.005,0.033,0.017,0.000,0.001,0.000
OneMax,10,900,999,40.780,27.390,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,27.326,0.002,0.001,0.001,0.005,0.032,0.017,0.000,0.001,0.000
IsingTorus,10,900,999,40.811,27.420,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.351,0.002,0.001,0.001,0.005,0.034,0.019,0.000,0.001,0.000
OneMaxRuggedness2,10,900,999,40.381,27.379,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.290,0.002,0.002,0.002,0.005,0.047,0.023,0.000,0.001,0.000
NQueens,10,900,999,40.924,27.461,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,27.397,0.002,0.001,0.001,0.005,0.031,0.017,0.000,0.001,0.000
OneMax,10,900,5555,40.778,27.430,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,27.341,0.002,0.001,0.001,0.005,0.032,0.017,0.000,0.001,0.000
IsingTorus,10,900,5555,40.832,27.404,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.332,0.002,0.002,0.002,0.005,0.036,0.019,0.000,0.001,0.000
OneMaxRuggedness2,10,900,5555,40.537,27.404,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.327,0.002,0.002,0.002,0.005,0.039,0.021,0.000,0.001,0.000
NQueens,10,900,5555,40.809,27.436,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,27.375,0.002,0.001,0.001,0.005,0.030,0.016,0.000,0.001,0.000
OneMax,10,900,4444,40.721,27.386,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.317,0.002,0.001,0.001,0.005,0.035,0.018,0.000,0.001,0.000
IsingTorus,10,900,4444,41.094,27.699,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.630,0.002,0.001,0.001,0.005,0.035,0.018,0.000,0.001,0.000
OneMaxRuggedness2,10,900,4444,40.488,27.389,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.303,0.002,0.002,0.002,0.005,0.045,0.023,0.000,0.001,0.000
NQueens,10,900,4444,40.711,27.365,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.300,0.002,0.001,0.001,0.005,0.032,0.017,0.000,0.001,0.000
OneMax,10,900,3333,40.742,27.374,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,27.304,0.002,0.001,0.001,0.005,0.036,0.018,0.000,0.001,0.000
IsingTorus,10,900,3333,40.659,27.364,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,27.298,0.002,0.001,0.001,0.005,0.033,0.018,0.000,0.001,0.000
OneMaxRuggedness2,10,900,3333,40.389,27.374,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.298,0.002,0.002,0.002,0.005,0.039,0.020,0.000,0.001,0.000
NQueens,10,900,3333,40.841,27.454,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000,27.391,0.002,0.001,0.001,0.005,0.031,0.017,0.000,0.001,0.000
OneMax,10,900,2222,40.760,27.391,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,27.324,0.002,0.001,0.001,0.005,0.033,0.018,0.000,0.001,0.000
